feed_type,breast_used,breast_left_time,breast_right_time,bottle_ml,start_time_label,end_time_label
Bottle Breast Milk,,0,0,35,2018/06/14 01:00:10,
Breast Input,R,0,600,0,2018/06/13 22:50:30,
Bottle Breast Milk,,0,0,35,2018/06/13 20:45:14,
Bottle Breast Milk,,0,0,35,2018/06/13 18:20:22,
Breast Input,N,600,600,0,2018/06/13 16:16:01,
Bottle Breast Milk,,0,0,30,2018/06/13 13:25:12,
Bottle Breast Milk,,0,0,20,2018/06/13 08:30:26,
Bottle Breast Milk,,0,0,30,2018/06/13 06:21:13,
Bottle Breast Milk,,0,0,30,2018/06/13 02:48:27,
Bottle Breast Milk,,0,0,30,2018/06/13 00:30:32,
Bottle Breast Milk,,0,0,15,2018/06/12 22:52:38,
Bottle Breast Milk,,0,0,25,2018/06/12 21:21:51,
Bottle Breast Milk,,0,0,25,2018/06/12 17:36:47,
Bottle Breast Milk,,0,0,15,2018/06/12 15:22:04,
Bottle Breast Milk,,0,0,20,2018/06/12 13:00:48,
Bottle Breast Milk,,0,0,10,2018/06/11 12:15:36,
Bottle Breast Milk,,0,0,10,2018/06/11 10:30:02,
Bottle Breast Milk,,0,0,10,2018/06/11 07:22:22,
Breast Input,L,900,0,0,2018/06/11 03:00:30,
Breast Input,R,0,600,0,2018/06/10 22:56:58,
Breast Timer,R,0,3300,0,2018/06/10 20:43:16,
Breast Input,N,600,600,0,2018/06/10 18:28:48,
Bottle Breast Milk,,0,0,5,2018/06/10 15:30:50,
Breast Input,N,600,600,0,2018/06/10 14:30:52,
Bottle Breast Milk,,0,0,5,2018/06/10 12:30:07,
Bottle Breast Milk,,0,0,5,2018/06/10 13:35:02,
Bottle Breast Milk,,0,0,5,2018/06/10 10:30:32,
Bottle Breast Milk,,0,0,5,2018/06/10 08:30:06,
Bottle Breast Milk,,0,0,5,2018/06/10 07:45:46,
